,user_id,item_id,rating,category
79366,577,496,5,880474455
22880,442,26,3,883388576
9072,10,496,5,877889005
34023,221,544,4,875244512
83774,931,286,5,891037521
8968,116,421,3,876453800
54078,748,135,4,879454998
80667,790,161,4,885157181
79619,886,20,2,876031739
25497,468,249,3,875280310
20851,234,22,4,892334644
91356,256,829,4,882153751
38333,6,405,1,883600066
63520,21,769,1,874951916
92394,488,321,3,891293152
64371,896,186,4,887159069
76736,889,1113,5,880182295
66779,854,488,4,882813761
51314,466,908,4,890284651
32760,420,475,4,891357162
16259,391,1101,4,877399423
79693,736,533,3,878709108
32680,282,300,3,879949438
17716,143,325,5,888407741
33115,405,1032,1,885549044
470,137,144,5,881433689
27133,298,79,5,884182685
92432,624,870,4,879793155
55374,735,332,3,876698022
47160,547,332,3,891282681
29746,38,356,2,892430309
80413,705,862,1,883427875
56306,580,249,5,884125243
94550,864,117,4,888889466
17073,354,511,4,891217340
5463,272,11,4,879455143
78059,450,546,4,887139019
73435,312,50,5,891698300
99640,934,419,4,891192849
64823,846,22,4,883948222
18380,234,194,5,892333653
43668,328,549,4,885047556
22952,125,323,3,892836124
60707,567,100,1,882425791
43473,14,302,5,890880970
34756,96,486,3,884403392
17349,225,245,2,879539315
78961,321,1101,3,879440660
91878,629,881,3,880116023
77016,120,508,2,889490979
63046,768,966,4,883834814
58396,763,69,4,878915600
45457,450,1220,5,882398084
83412,730,535,2,880310506
95953,684,477,5,878759560
800,194,172,3,879521474
82605,682,159,3,888521005
5024,249,240,4,879640343
13854,10,168,4,877888812
18961,296,89,5,884197352
654,117,268,5,880124306
83399,922,747,3,891448247
40177,625,169,5,891263665
59042,676,258,2,892685370
82951,468,286,4,875279126
12427,49,508,3,888068841
76372,923,928,4,880388306
22987,60,385,4,883327799
63730,145,222,5,885557660
51986,201,685,3,884112352
6052,127,286,1,884364525
49489,207,461,3,878104017
99914,904,173,3,879735499
38311,479,82,4,879461898
10319,13,597,3,882397650
49410,487,88,4,884024901
34319,276,572,3,874795823
65853,456,395,2,881375542
15756,346,143,3,874948332
96823,943,427,4,888639147
48627,293,780,3,888907816
52266,452,124,5,885816768
45364,659,735,3,891385079
29769,186,568,4,879024014
29125,399,1393,3,882340421
4695,262,217,3,879792818
15473,250,1137,5,878090066
84887,906,129,4,879435469
30988,537,654,3,886031506
38486,621,208,4,874962824
75282,79,311,4,891271278
97762,360,474,5,880355803
23120,373,480,3,877098643
77400,225,482,5,879540707
69137,790,742,4,884461541
43879,76,93,4,882606572
9361,345,451,5,884993085
32087,24,173,5,875323474
54004,768,756,3,883835053
34477,482,311,4,887643340
15780,128,1063,2,879967047
56093,387,68,4,886483099
75487,639,173,1,891239492
92692,548,1,4,891043182
51869,109,317,2,880573085
4118,296,83,5,884199624
70046,28,5,3,881961600
24325,275,515,3,876197552
40572,646,304,3,888529014
3117,271,22,5,885848518
60627,41,56,4,890687472
9148,279,173,5,875296461
70652,454,312,3,888015842
84325,276,332,4,877933879
30163,435,357,4,884131771
96348,846,386,3,883950154
66898,693,174,4,875483881
5787,56,31,4,892679259
47868,321,182,3,879439679
65916,733,127,3,879535265
21416,151,939,4,879524514
50790,554,216,3,876369162
93452,724,898,1,883757784
48563,528,168,4,888522642
25273,330,98,5,876546033
86920,864,52,4,888888861
34042,597,824,3,875342875
28429,82,462,4,878769992
92874,731,720,3,886184771
52078,497,423,3,879363586
65833,863,305,4,889289122
40569,642,552,4,886569347
4063,236,143,4,890116163
74617,933,196,4,874854932
10734,64,161,3,889739779
56068,666,114,4,880567919
63511,627,471,3,879530463
40202,610,489,4,888703343
8493,18,778,2,880131077
36434,457,8,5,882397734
26232,181,336,2,878961709
60234,833,50,2,875035718
44576,38,401,3,892434585
39408,385,664,3,879445335
18819,312,179,5,891698793
46249,344,297,4,889814555
38639,313,892,4,891013059
2810,7,680,4,891350703
70112,888,792,5,879365054
64790,560,483,5,879975406
6960,213,151,5,878955886
40047,450,1048,3,882397813
68274,907,125,4,880159259
89369,654,751,3,887863034
68730,912,154,4,875966027
69261,921,87,2,884673673
33119,456,182,3,881373228
43579,568,162,2,877906935
40216,100,270,3,891375016
78908,587,319,3,892871113
1292,141,258,5,884584338
94058,927,826,4,879181451
30682,554,582,3,876232758
5685,82,705,3,878769598
43336,119,405,4,874775815
40495,488,500,4,891294568
21121,305,96,3,886324172
30844,365,271,4,891303408
36745,239,228,2,889180651
57759,595,1165,1,886921748
26265,262,181,3,879961819
13414,301,566,3,882076463
49439,738,265,4,892957967
56775,422,137,5,875129882
86437,536,275,5,882318287
32475,44,737,1,883613298
80079,943,174,4,875410099
12029,380,229,3,885481179
71362,688,898,5,884153606
13279,5,429,3,875637429
7774,6,28,2,883603013
45188,627,184,4,879531248
62198,609,877,5,886895649
1370,92,241,3,875655961
26571,18,474,4,880129731
30005,528,751,4,888520371
40573,643,203,4,891446956
46310,638,449,2,876694995
3693,239,317,5,889179291
27387,518,934,3,876823143
6009,178,275,5,882823857
39770,116,349,2,886977905
70655,510,261,2,887667780
55802,477,722,5,875941763
36066,450,66,4,882398770
71756,731,606,3,886182366
20787,365,762,4,891304300
43761,234,154,3,892078605
92251,913,50,4,880758348
17652,305,175,4,886322893
79504,380,200,4,885479104
19868,299,475,4,877877600
36823,500,930,3,883865929
90445,435,235,4,884132266
98686,474,190,3,887923972
89393,799,127,4,879254026
42578,648,122,1,882212609
34664,566,651,4,881650242
62399,435,1291,1,884134853
5870,256,1028,4,882151690
63690,619,566,4,885954105
45765,664,678,2,876523288
90053,880,1014,4,892959041
27466,257,181,5,882050131
97112,887,228,4,881380709
62323,828,286,4,891033342
28031,407,291,4,876348681
50203,90,1005,2,891383912
86727,327,176,4,887744240
10805,250,184,1,878091683
76849,113,299,5,875076986
47278,533,356,4,879191652
86908,106,463,3,881453413
42344,374,619,3,880393553
37118,399,508,3,882509971
86020,500,557,3,883875136
49421,599,888,5,880951249
70997,886,549,3,876032929
33512,451,688,1,879012811
47071,559,69,5,891034003
87280,914,775,3,887124121
53511,85,173,3,879454045
29788,458,8,4,886395899
13770,374,237,5,880392717
49480,708,328,3,892718964
2721,7,420,5,891353219
31323,121,100,4,891388035
95362,535,190,4,879617747
12257,144,216,4,888105691
34777,488,222,4,891376029
56379,618,785,3,891309351
46807,450,287,4,887660504
